country,month,carbon
Guinea,8,66677144
Guinea-Bissau,1,68964634934
Guinea-Bissau,2,234127600255
Guinea-Bissau,3,354354666868.75
Guinea-Bissau,4,165036622272
Guinea-Bissau,5,859453969232
Guinea-Bissau,6,89210620583
Guinea-Bissau,7,0
Guinea-Bissau,8,0
Guyana,1,35708812816
Guyana,2,105483407174
Guyana,3,157845344616
Guyana,4,191115542576
Guyana,5,11017258240
Guyana,6,2906661120
Guyana,7,3849268766
Guyana,8,1724604416
Haiti,1,7555602144
Haiti,2,7843711816
Haiti,3,13115666876
Haiti,4,5588304186
Haiti,5,4110598064
Haiti,6,2180403446
Haiti,7,409635868
Haiti,8,673246448
Honduras,1,37001929895
Honduras,2,134901108268
Honduras,3,312006977632
Honduras,4,4383510883312
Honduras,5,727354689804
Honduras,6,20193392032
Honduras,7,12996025022
Honduras,8,2593596970
Hungary,1,45132072
Hungary,2,2328021966
Hungary,3,10874853366
Hungary,4,17168036826
Hungary,5,10251637556
Hungary,6,104327144
Hungary,7,1448671376
Hungary,8,2872081244
India,1,227114418280.625
India,2,488964418211
India,3,4141173336171.8125
India,4,1974543468494.1562
India,5,734701614462.25
India,6,65422559533
India,7,20227926191.859375
India,8,7823772979.191406
Indonesia,1,415791784882.25
Indonesia,2,1178633231659.25
Indonesia,3,1167494574155.5
Indonesia,4,511173024832.5
Indonesia,5,177476004637.375
Indonesia,6,168102662516.375
Indonesia,7,304048146701.75
Indonesia,8,229270972855
Iran,1,1008582048.2363281
Iran,2,23892077340.871094
Iran,3,4063990001.140625
Iran,4,3127941803.5
Iran,5,14358705511.015625
Iran,6,28796525021.648438
Iran,7,16107165714.984375
Iran,8,4019215240.734375
Iraq,1,400801888.484375
Iraq,2,761757067.109375
Iraq,3,679481025.40625
Iraq,4,638267378.078125
Iraq,5,18836142044.460938
Iraq,6,55005927320.71875
Iraq,7,23580138487.15625
Iraq,8,9441398496.75
Ireland,1,0
Ireland,2,0
Ireland,3,342419904
Ireland,4,3454299601
Ireland,5,1658542569
Ireland,6,523971794
Ireland,7,0
Ireland,8,26570146
Israel,1,6313286.5
Israel,2,362945.6875
Israel,3,35836476
Israel,4,23485830.25
Israel,5,138609622
Israel,6,928151418
Israel,7,3627643858
Israel,8,69763414
Italy,1,3402234460
Italy,2,18024084039
Italy,3,12797599537.375
Italy,4,17647499160.75
Italy,5,6756884042
Italy,6,19992212069
Italy,7,107507414594.5
Italy,8,81702078064.75
Jamaica,1,241807735
Jamaica,2,1272455842
Jamaica,3,2606546294
Jamaica,4,8283077841
Jamaica,5,5568927704
Jamaica,6,3099537524
Jamaica,7,848532238
Jamaica,8,402320463.75
Japan,1,999212576
Japan,2,45798422564
Japan,3,177479509874
Japan,4,95455330350
Japan,5,29010340124.5
Japan,6,24266612456
Japan,7,41695391050
Japan,8,63459061856
Jordan,1,233853.71875
Jordan,2,701659.78125
Jordan,3,0
Jordan,4,0
Jordan,5,13223366.5
Jordan,6,79672028.9375
Jordan,7,4536044.875
Jordan,8,0
Kazakhstan,1,351881712.5
Kazakhstan,2,21781031906.5
Kazakhstan,3,647107828332.5625
Kazakhstan,4,1615210043577.5
Kazakhstan,5,177100537961.25
Kazakhstan,6,1601342538624.6875
Kazakhstan,7,1195062066968
Kazakhstan,8,214197327788
Kenya,1,14995685266
Kenya,2,43198938999
Kenya,3,308805551476.5
Kenya,4,18888905009
Kenya,5,58525392918
Kenya,6,253277322715.6875
Kenya,7,608918067084
Kenya,8,124566168846.75
Korea,1,0
Korea,2,3424615412
Korea,3,12950898538
Korea,4,26464545919.5
Korea,5,9796065616
Korea,6,14445917784
Korea,7,24048515520
Korea,8,930010984
Kosovo,1,235550336
Kosovo,2,773110568
Kosovo,3,4050708524
Kosovo,4,20594622084
Kosovo,5,583470336
Kosovo,6,67969864
Kosovo,7,3913121976
Kosovo,8,1464251482
Kuwait,1,8385012.34375
Kuwait,2,57680501.625
Kuwait,3,25934910.78125
Kuwait,4,14541793.7578125
Kuwait,5,36501498.078125
Kuwait,6,65713745.109375
Kuwait,7,3286730.75
Kuwait,8,262423.8125
Kyrgyzstan,1,25701062
Kyrgyzstan,2,148080408
Kyrgyzstan,3,16426780002
Kyrgyzstan,4,3141007735
Kyrgyzstan,5,37239672
Kyrgyzstan,6,365438944
Kyrgyzstan,7,4669821128
Kyrgyzstan,8,312754320
Lao PDR,1,550078146960
Lao PDR,2,2063890284060
Lao PDR,3,10470886118340
Lao PDR,4,4339336738318
Lao PDR,5,425988659032
Lao PDR,6,13468943762
Lao PDR,7,2911958930
Lao PDR,8,0
Latvia,1,0
Latvia,2,0
Latvia,3,825881128
Latvia,4,1771477842
Latvia,5,1227437020
Latvia,6,1285569906
Latvia,7,653943041
Latvia,8,86953088
Lebanon,1,0
Lebanon,2,0
Lebanon,3,15544470
Lebanon,4,0
Lebanon,5,8462651
Lebanon,6,59702578.5
Lebanon,7,111399923.5
Lebanon,8,43959768
Lesotho,1,0
Lesotho,2,0
Lesotho,3,258572288
Lesotho,4,28105684
Lesotho,5,815568326
